City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address,,
PHEK,13080301001,2015-16,GPS PHOKHUNGRI,MELURI,DUMMY,PHOKHUNGRI,Nagaland,797114,,,,,,,,,,,
MON,13010800501,2015-16,GPS WAKCHING - A,WAKCHING,DUMMY,WAKCHING,Nagaland,798621,,,,,,,,,,,
MON,13010800502,2015-16,GPS WAKCHING - B,WAKCHING,DUMMY,WAKCHING,Nagaland,798621,,,,,,,,,,,
MON,13010800505,2015-16,GHS WAKCHING,WAKCHING,DUMMY,WAKCHING,Nagaland,798621,,,,,,,,,,,
MON,13010800506,2015-16,GPS WAKCHING TOWN,WAKCHING,DUMMY,WAKCHING,Nagaland,798621,,,,,,,,,,,
KOHIMA,13070400501,2015-16,GPS SENDENYU,TSEMINYU,DUMMY,SENDENYU,Nagaland,797109,,,,,,,,,,,
KOHIMA,13070700302,2015-16,BAPTIST HIGH ,KOHIMA URBAN,DUMMY,WARD 3 - NORTH BLOCK WARD,Nagaland,797001,,,,ChIJPTFcsQohRjcRUXLP53JTEvU,B,Pincode,797001,Baptist High,"Mission Compound, Kohima, Nagaland 797001, India",,
LONGLENG,13090600112,2015-16,PHOM-LEMPONG SCHOOL,LONGLENG,DUMMY,LONGLENG TOWN ,Nagaland,798625,,,,,,,,,,,
LONGLENG,13090600113,2015-16,MT.CARMEL SCHOOL,LONGLENG,DUMMY,LONGLENG TOWN ,Nagaland,798625,,,,,,,,,,,
ZUNHEBOTO,13040103501,2015-16,GMS  PHUYE NEW,ZUNHEBOTO,ZUNHEBOTO CLUSTER,PHUYE NEW,Nagaland,798620,,,,,,,,,,,
ZUNHEBOTO,13040103601,2015-16,GPS PHYE OLD,ZUNHEBOTO,ZUNHEBOTO CLUSTER,PHUYE OLD,Nagaland,798632,,,,,,,,,,,
ZUNHEBOTO,13040105503,2015-16,GMS NEW COLONY,ZUNHEBOTO,ZUNHEBOTO CLUSTER,NEW COLONY WARD,Nagaland,798620,,,,,,,,,,,
WOKHA,13050201601,2015-16,GMS CHUDI,SANIS,SANIS,CHUDI,Nagaland,797111,,,,,,,,,,,
WOKHA,13050105001,2015-16,GPS VANKHUSANG,WOKHA,CLU_GPS VANKHOSANG,VANKHUSANG,Nagaland,797111,,,,,,,,,,,
WOKHA,13050202602,2015-16,BAPTIST MISSION SCHOOL SANIS (M/S),SANIS,SANIS,SANIS,Nagaland,797111,,,,,,,,,,,
MON,13010701402,2015-16,GMS CHUI,MON,DUMMY,CHUI,Nagaland,798621,,,,,,,,,,,
MON,13010701501,2015-16,GPS GUCHING,MON,DUMMY,GUCHING,Nagaland,798621,,,,,,,,,,,
MON,13010701602,2015-16,"LANGSA HILL SCHOOL, LAMPONG SHEANGHAH",MON,DUMMY,LAMPONG SHEANGHAH,Nagaland,798621,,,,,,,,,,,
TUENSANG,13020201901,2015-16,GPS/GMS BHUMBAK,NOKSEN,DUMMY,BHUMPAK,Nagaland,798616,,,,,,,,,,,
